window_start,window_stop,window_center,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29
129901,132900,131400.5,254,40,32,27,27,32,38,27,31
130201,133200,131700.5,255,38,29,28,28,34,38,28,32
130501,133500,132000.5,253,39,30,31,26,32,35,29,31
130801,133800,132300.5,250,36,31,35,25,30,33,29,31
131101,134100,132600.5,255,35,29,35,28,32,34,30,32
131401,134400,132900.5,258,34,31,32,27,32,35,32,35
131701,134700,133200.5,255,31,31,31,30,30,33,32,37
132001,135000,133500.5,249,30,33,30,28,31,30,32,35
132301,135300,133800.5,251,32,33,33,29,31,26,29,38
132601,135600,134100.5,256,31,33,34,29,31,26,30,42
132901,135900,134400.5,254,32,33,34,29,30,25,29,42
133201,136200,134700.5,250,31,34,32,29,28,26,30,40
133501,136500,135000.5,255,30,35,30,33,31,28,31,37
133801,136800,135300.5,261,34,35,30,34,33,27,30,38
134101,137100,135600.5,259,33,36,31,31,31,29,30,38
134401,137400,135900.5,261,33,34,31,31,32,31,31,38
134701,137700,136200.5,262,32,33,28,32,35,32,34,36
135001,138000,136500.5,265,33,32,27,35,35,31,36,36
135301,138300,136800.5,264,30,33,28,34,34,32,38,35
135601,138600,137100.5,265,29,36,30,35,34,30,37,34
135901,138900,137400.5,261,26,32,29,37,34,31,37,35
136201,139200,137700.5,258,26,31,30,36,36,27,34,38
136501,139500,138000.5,254,25,29,30,36,35,29,32,38
136801,139800,138300.5,250,23,30,29,34,35,31,31,37
137101,140100,138600.5,250,28,29,29,33,37,29,30,35
137401,140400,138900.5,246,27,32,32,32,37,26,27,33
137701,140700,139200.5,255,30,36,34,32,34,30,27,32
138001,141000,139500.5,256,29,35,35,32,34,34,24,33
138301,141300,139800.5,256,31,35,35,33,33,33,24,32
138601,141600,140100.5,248,31,32,34,30,32,33,25,31
138901,141900,140400.5,255,32,33,35,30,32,34,28,31
139201,142200,140700.5,264,35,33,38,30,33,38,27,30
139501,142500,141000.5,255,35,34,39,25,31,34,27,30
139801,142800,141300.5,258,36,33,36,25,33,35,29,31
140101,143100,141600.5,254,30,34,36,28,31,34,30,31
140401,143400,141900.5,250,28,35,35,28,30,35,29,30
140701,143700,142200.5,249,27,33,35,28,31,34,28,33
